[2024-05-25 13:38:31 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 15:29:35 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 15:29:40 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 15:29:45 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 15:29:50 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 15:29:55 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 15:30:31 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 15:30:35 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 15:30:40 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 15:30:45 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 15:30:50 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 15:30:55 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 15:31:00 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 15:31:05 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 15:31:11 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 15:31:16 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 16:13:52 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 16:13:57 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 16:13:57 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 16:14:02 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 16:14:02 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 16:14:07 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 16:14:07 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 16:14:12 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 16:14:17 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 16:14:22 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 16:14:27 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 16:14:32 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 16:14:37 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 16:14:42 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 16:14:47 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 16:14:52 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 16:14:57 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 16:15:02 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 16:15:07 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 16:15:12 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 16:15:17 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 16:15:22 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 16:22:52 joining] :msg type : JOIN , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:22:57 joining] :msg type : ALIVE , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:22:57 joining] :msg type : JOIN , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:23:02 joining] :msg type : ALIVE , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:23:02 joining] :msg type : JOIN , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:23:07 joining] :msg type : ALIVE , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:23:07 joining] :msg type : JOIN , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:23:12 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 1 , body : 
[2024-05-25 16:23:16 joined] :msg type : JOIN , from : 192.168.251.107 , view : 0 , body : 
[2024-05-25 16:23:16 change] :msg type : END , from : 192.168.251.150 , view : 1 , body : 192.168.251.150;192.168.251.107;
[2024-05-25 16:23:17 change] :msg type : END , from : 192.168.251.107 , view : 1 , body : 192.168.251.150;192.168.251.107;
[2024-05-25 16:23:17 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:23:21 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:23:21 joined] :msg type : DROP , from : 192.168.251.107 , view : 2 , body : 192.168.251.107
[2024-05-25 16:23:21 change] :msg type : END , from : 192.168.251.107 , view : 2 , body : 192.168.251.150;192.168.251.107;
[2024-05-25 16:23:21 change] :msg type : END , from : 192.168.251.150 , view : 2 , body : 192.168.251.150;192.168.251.107;
[2024-05-25 16:23:22 change] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:23:26 change] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:23:28 change] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:23:31 change] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:23:33 change] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:25:40 joining] :msg type : JOIN , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:25:45 joining] :msg type : ALIVE , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:25:45 joining] :msg type : JOIN , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:25:50 joining] :msg type : ALIVE , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:25:50 joining] :msg type : JOIN , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:25:55 joining] :msg type : ALIVE , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:25:55 joining] :msg type : JOIN , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:26:00 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 1 , body : 
[2024-05-25 16:26:05 joined] :msg type : JOIN , from : 192.168.251.107 , view : 0 , body : 
[2024-05-25 16:26:04 change] :msg type : END , from : 192.168.251.150 , view : 1 , body : 192.168.251.150;192.168.251.107;
[2024-05-25 16:26:05 change] :msg type : END , from : 192.168.251.107 , view : 1 , body : 192.168.251.150;192.168.251.107;
[2024-05-25 16:26:05 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:26:10 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:26:10 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:26:15 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:26:15 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:26:20 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:26:20 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:26:25 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:26:25 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:26:30 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:26:30 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:26:35 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:26:35 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:26:40 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:26:40 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:27:00 joining] :msg type : JOIN , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:27:00 joining] :msg type : JOIN , from : 192.168.251.107 , view : 0 , body : 
[2024-05-25 16:27:05 joining] :msg type : ALIVE , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:27:05 joining] :msg type : JOIN , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:27:05 joining] :msg type : JOIN , from : 192.168.251.107 , view : 0 , body : 
[2024-05-25 16:27:10 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 1 , body : 
[2024-05-25 16:27:15 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 1 , body : 
[2024-05-25 16:27:20 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 1 , body : 
[2024-05-25 16:27:25 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 1 , body : 
[2024-05-25 16:27:30 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 1 , body : 
[2024-05-25 16:27:35 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 1 , body : 
[2024-05-25 16:27:40 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 1 , body : 
[2024-05-25 16:27:45 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 1 , body : 
[2024-05-25 16:27:50 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 1 , body : 
[2024-05-25 16:27:55 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 1 , body : 
[2024-05-25 16:28:33 joining] :msg type : JOIN , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:28:34 joining] :msg type : END , from : 192.168.251.107 , view : 1 , body : 192.168.251.107;192.168.251.150;
[2024-05-25 16:28:34 joining] :msg type : END , from : 192.168.251.150 , view : 1 , body : 192.168.251.107;192.168.251.150;
[2024-05-25 16:28:39 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:28:38 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:28:44 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:28:43 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:28:49 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:28:48 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:28:54 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:28:53 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:28:59 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:28:58 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:29:04 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:29:03 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:29:09 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:29:08 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:29:14 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:29:13 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:29:19 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:29:18 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:29:24 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:29:23 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:29:29 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:29:29 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:29:34 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:29:34 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:29:39 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:29:39 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:49:19 joining] :msg type : JOIN , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:49:24 joining] :msg type : ALIVE , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:49:24 joining] :msg type : JOIN , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:49:29 joining] :msg type : ALIVE , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:49:29 joining] :msg type : JOIN , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:49:34 joining] :msg type : ALIVE , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:49:34 joining] :msg type : JOIN , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:49:39 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 1 , body : 
[2024-05-25 16:49:41 joined] :msg type : JOIN , from : 192.168.251.107 , view : 0 , body : 
[2024-05-25 16:49:41 change] :msg type : END , from : 192.168.251.150 , view : 1 , body : 192.168.251.150;192.168.251.107;
[2024-05-25 16:49:41 change] :msg type : END , from : 192.168.251.107 , view : 1 , body : 192.168.251.150;192.168.251.107;
[2024-05-25 16:49:44 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:49:46 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:49:49 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:49:51 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:49:54 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:49:56 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:49:59 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
